,Index_ID,Animal_ID,Found_Location,Found_Location_count,State,City,Address
312,140760,A419723,12403 Alderbrook Dr in Austin (TX),6,(TX),Austin,12403 Alderbrook Dr in
315,34524,A420464,183 And Jollyville in Austin (TX),6,(TX),Austin,183 And Jollyville in
318,21355,A423033,4700 Rue Le Fleur in Austin (TX),7,(TX),Austin,4700 Rue Le Fleur in
324,87294,A424714,15000 Fm 1826 in Travis (TX),6,(TX),Travis,15000 Fm 1826 in
325,93363,A427100,1916 Tillotson Ave in Austin (TX),6,(TX),Austin,1916 Tillotson Ave in
326,41728,A427442,1802 Cherry Orchid in Austin (TX),6,(TX),Austin,1802 Cherry Orchid in
328,46739,A427808,7229 Apperson St in Del Valle (TX),7,(TX),Valle,7229 Apperson St in Del
330,123222,A428783,11615 Pearwood Pl in Austin (TX),6,(TX),Austin,11615 Pearwood Pl in
331,53500,A430217,1001 Alden in Austin (TX),5,(TX),Austin,1001 Alden in
334,67855,A430368,2319 E Stassney in Austin (TX),6,(TX),Austin,2319 E Stassney in
335,20412,A430437,1119 Kirk Ave in Austin (TX),6,(TX),Austin,1119 Kirk Ave in
338,9603,A430671,12311 Fay in Manor (TX),5,(TX),Manor,12311 Fay in
343,120735,A430953,5207 Brodie Ln in Austin (TX),6,(TX),Austin,5207 Brodie Ln in
347,129835,A432197,124 W Anderson Ln in Austin (TX),7,(TX),Austin,124 W Anderson Ln in
348,19156,A432542,307 E 38Th St in Austin (TX),7,(TX),Austin,307 E 38Th St in
352,56991,A434171,10107 East Rutland Village Drive in Austin (TX),8,(TX),Austin,10107 East Rutland Village Drive in
353,1740,A434523,400 W Anderson in Austin (TX),6,(TX),Austin,400 W Anderson in
356,130775,A435237,2800 S 5Th in Austin (TX),6,(TX),Austin,2800 S 5Th in
359,15286,A437400,8300 Garcreek in Austin (TX),5,(TX),Austin,8300 Garcreek in
363,88227,A439702,7106 Oak Forest Lane in Austin (TX),7,(TX),Austin,7106 Oak Forest Lane in
364,742,A439728,8208 Georgie Trace in Austin (TX),6,(TX),Austin,8208 Georgie Trace in
365,49583,A439733,1109 Echo Ln in Austin (TX),6,(TX),Austin,1109 Echo Ln in
366,98879,A440082,35Th And Grooms St in Austin (TX),7,(TX),Austin,35Th And Grooms St in
367,12693,A440835,10609 Portrush in Travis (TX),5,(TX),Travis,10609 Portrush in
369,58675,A442798,11160 Jollyville Rd #1008 in Austin (TX),7,(TX),Austin,11160 Jollyville Rd #1008 in
374,76282,A443790,1009 W Dittmar Rd in Austin (TX),7,(TX),Austin,1009 W Dittmar Rd in
378,20718,A444494,11846 Jollyville Rd in Austin (TX),6,(TX),Austin,11846 Jollyville Rd in
379,105754,A445392,7904 Persimmon Trl in Austin (TX),6,(TX),Austin,7904 Persimmon Trl in
382,84816,A446860,11301 Farrah Lane in Austin (TX),6,(TX),Austin,11301 Farrah Lane in
387,17447,A447896,7601 Daffan Ln in Austin (TX),6,(TX),Austin,7601 Daffan Ln in
388,32488,A448018,6516 W Colton Bluff Springs Rd in Austin (TX),9,(TX),Austin,6516 W Colton Bluff Springs Rd in
389,1181,A448020,1901 Chicon in Austin (TX),5,(TX),Austin,1901 Chicon in
395,88368,A449107,20624 Commons in Travis (TX),5,(TX),Travis,20624 Commons in
397,132253,A449318,1000 Parker Lane in Austin (TX),6,(TX),Austin,1000 Parker Lane in
403,30526,A450003,1156 Cesar Chavez in Austin (TX),6,(TX),Austin,1156 Cesar Chavez in
405,106401,A450274,11724 Dubfries Lane in Austin (TX),6,(TX),Austin,11724 Dubfries Lane in
407,106249,A450902,1100 Congress Avenue in Austin (TX),6,(TX),Austin,1100 Congress Avenue in
408,73949,A451014,6900 Pleasant Valley in Austin (TX),6,(TX),Austin,6900 Pleasant Valley in
412,92756,A452508,8000 Brown Cemetary Rd in Travis (TX),7,(TX),Travis,8000 Brown Cemetary Rd in
423,60151,A453933,1212 Garden St. in Austin (TX),6,(TX),Austin,1212 Garden St. in
426,78063,A454208,1800 E Stassney Ln in Austin (TX),7,(TX),Austin,1800 E Stassney Ln in
427,63775,A454228,5400 Freidrich in Austin (TX),5,(TX),Austin,5400 Freidrich in
428,54331,A454245,4434 Frontier Trail in Austin (TX),6,(TX),Austin,4434 Frontier Trail in
432,38110,A454486,1137 Gunter St in Austin (TX),6,(TX),Austin,1137 Gunter St in
441,64620,A457858,8511 Burnet Rd in Austin (TX),6,(TX),Austin,8511 Burnet Rd in
443,66738,A458233,9401 S 1St St in Austin (TX),7,(TX),Austin,9401 S 1St St in
451,20710,A459845,12058 East Applegate Dr in Austin (TX),7,(TX),Austin,12058 East Applegate Dr in
452,74945,A459859,3333 Crispin Hall Ln in Travis (TX),7,(TX),Travis,3333 Crispin Hall Ln in
453,88488,A459869,12900 No. I-35 Svc Rd Sb in Austin (TX),9,(TX),Austin,12900 No. I-35 Svc Rd Sb in
454,49552,A459989,5700 Convict Hill in Austin (TX),6,(TX),Austin,5700 Convict Hill in
456,83390,A460420,803 East Riverside Drive in Austin (TX),7,(TX),Austin,803 East Riverside Drive in
457,37466,A460458,1941 Gaston Place Dr #334 in Austin (TX),8,(TX),Austin,1941 Gaston Place Dr #334 in
459,31688,A460630,2200 Quicksilver in Austin (TX),5,(TX),Austin,2200 Quicksilver in
461,104748,A461171,13516 Gilwell in Del Valle (TX),6,(TX),Valle,13516 Gilwell in Del
463,38567,A461358,9008 Collinfield in Austin (TX),5,(TX),Austin,9008 Collinfield in
465,123741,A462248,5704 Thames Dr in Austin (TX),6,(TX),Austin,5704 Thames Dr in
481,31617,A463982,2143 Barton Hills Dr in Austin (TX),7,(TX),Austin,2143 Barton Hills Dr in
482,30585,A464168,2616 W Braker Ln in Austin (TX),7,(TX),Austin,2616 W Braker Ln in
484,46255,A464307,5217 Old Spicewood Springs Rd in Austin (TX),8,(TX),Austin,5217 Old Spicewood Springs Rd in
485,974,A464377,12800 Harrisglenn Dr in Austin (TX),6,(TX),Austin,12800 Harrisglenn Dr in
488,82728,A464496,2309 Berkeley in Austin (TX),5,(TX),Austin,2309 Berkeley in
492,64041,A465573,6909 Carver Ave in Austin (TX),6,(TX),Austin,6909 Carver Ave in
494,75271,A465830,12221 Mopac Service Rd in Austin (TX),7,(TX),Austin,12221 Mopac Service Rd in
497,37733,A465930,1900 Chicon St in Austin (TX),6,(TX),Austin,1900 Chicon St in
498,60728,A466156,6709 W Kings Point in Austin (TX),7,(TX),Austin,6709 W Kings Point in
501,70302,A466810,2206 Mountain View Dr in Austin (TX),7,(TX),Austin,2206 Mountain View Dr in
502,18442,A466858,5503 B Fernview Rd in Austin (TX),7,(TX),Austin,5503 B Fernview Rd in
509,30505,A468026,902 W Meadowmere Ln in Austin (TX),7,(TX),Austin,902 W Meadowmere Ln in
514,110628,A468790,2924 Thrushwood Dr in Austin (TX),6,(TX),Austin,2924 Thrushwood Dr in
515,63352,A469338,8115 Westgate in Austin (TX),5,(TX),Austin,8115 Westgate in
519,129253,A471018,7132 Highway 71 West in Austin (TX),7,(TX),Austin,7132 Highway 71 West in
520,48360,A471683,8021 N Fm 620 Apt817 in Austin (TX),8,(TX),Austin,8021 N Fm 620 Apt817 in
521,86172,A471842,2600 Gracy Farms Ln in Austin (TX),7,(TX),Austin,2600 Gracy Farms Ln in
522,68319,A471905,2108 South Lamar in Austin (TX),6,(TX),Austin,2108 South Lamar in
525,88469,A473353,1125 Salina St in Austin (TX),6,(TX),Austin,1125 Salina St in
530,88761,A474193,8001 South Interstate 35 in Austin (TX),7,(TX),Austin,8001 South Interstate 35 in
536,117529,A475011,1100 Montopolis in Austin (TX),5,(TX),Austin,1100 Montopolis in
546,61597,A476298,7112 Ed Bluestein Boulevard in Austin (TX),7,(TX),Austin,7112 Ed Bluestein Boulevard in
553,42465,A477516,12311 Little Emily Way in Austin (TX),7,(TX),Austin,12311 Little Emily Way in
558,122457,A477934,3808 S. 1St St in Austin (TX),7,(TX),Austin,3808 S. 1St St in
567,140996,A479356,8301 Warbler Ct in Austin (TX),6,(TX),Austin,8301 Warbler Ct in
570,59627,A481864,12622 Mistletoe in Travis (TX),5,(TX),Travis,12622 Mistletoe in
571,10269,A481945,4203 Burch Dr in Travis (TX),6,(TX),Travis,4203 Burch Dr in
575,142103,A482518,47Th /Ave F in Austin (TX),6,(TX),Austin,47Th /Ave F in
577,91962,A482873,2300 Aldford in Austin (TX),5,(TX),Austin,2300 Aldford in
578,96500,A482973,7920 San Felipe Boulevard in Austin (TX),7,(TX),Austin,7920 San Felipe Boulevard in
582,94292,A483647,5762 N Mopac Expressway Northbound in Austin (TX),8,(TX),Austin,5762 N Mopac Expressway Northbound in
583,31827,A483941,115 Heritage Drive in Hays (TX),6,(TX),Hays,115 Heritage Drive in
589,136467,A484568,1505 Willow Street in Austin (TX),6,(TX),Austin,1505 Willow Street in
591,6415,A484925,8011 Beckett Rd in Austin (TX),6,(TX),Austin,8011 Beckett Rd in
598,67463,A485955,6200 Tara Dr in Austin (TX),6,(TX),Austin,6200 Tara Dr in
599,43400,A486513,8401 Hathaway Drive in Austin (TX),6,(TX),Austin,8401 Hathaway Drive in
605,1551,A487013,5302 Hwy 71 10B in Travis (TX),7,(TX),Travis,5302 Hwy 71 10B in
606,89630,A487253,3209 S Ih 35 in Austin (TX),7,(TX),Austin,3209 S Ih 35 in
612,55959,A488203,1115 E 3Rd in Austin (TX),6,(TX),Austin,1115 E 3Rd in
613,25651,A488204,1115 E 3Rd St in Austin (TX),7,(TX),Austin,1115 E 3Rd St in
620,14468,A489405,709 St Elmo in Austin (TX),6,(TX),Austin,709 St Elmo in
624,77061,A489464,4603 Nuckols Crossing in Austin (TX),6,(TX),Austin,4603 Nuckols Crossing in
630,111125,A490230,5208 Garden Oaks Drive in Austin (TX),7,(TX),Austin,5208 Garden Oaks Drive in
634,113380,A491338,2630 Exposition Boulevard in Austin (TX),6,(TX),Austin,2630 Exposition Boulevard in
641,134702,A492030,1302 Parker Ln in Austin (TX),6,(TX),Austin,1302 Parker Ln in
643,125786,A492949,6300 Ken Caryl Drive in Austin (TX),7,(TX),Austin,6300 Ken Caryl Drive in
646,62693,A493225,11501 Century Oaks Terrace in Austin (TX),7,(TX),Austin,11501 Century Oaks Terrace in
647,47941,A493291,408 W Dittmar in Austin (TX),6,(TX),Austin,408 W Dittmar in
648,5983,A493761,168 Tiffany Trail in Austin (TX),6,(TX),Austin,168 Tiffany Trail in
655,20876,A494990,2705 Rundberg in Austin (TX),5,(TX),Austin,2705 Rundberg in
656,93481,A495008,969 And Hunters Bend in Austin (TX),7,(TX),Austin,969 And Hunters Bend in
659,134406,A495308,2417 Blue Meadow Dr in Austin (TX),7,(TX),Austin,2417 Blue Meadow Dr in
660,13104,A495369,10611 Golden Quail Dr in Austin (TX),7,(TX),Austin,10611 Golden Quail Dr in
661,10498,A495636,12041 Dessau Road in Austin (TX),6,(TX),Austin,12041 Dessau Road in
665,99319,A496619,4703 S Congress in Austin (TX),6,(TX),Austin,4703 S Congress in
669,86442,A497904,8800 S 1St St in Austin (TX),7,(TX),Austin,8800 S 1St St in
670,113089,A498100,4601 East St Elmo in Austin (TX),7,(TX),Austin,4601 East St Elmo in
671,100400,A498537,5426 Manchaca  #225 in Austin (TX),7,(TX),Austin,5426 Manchaca #225 in
672,111498,A498720,7244 Wardman Drive in Travis (TX),6,(TX),Travis,7244 Wardman Drive in
682,105545,A500002,13430 Onion Creek Dr in Travis (TX),7,(TX),Travis,13430 Onion Creek Dr in
683,138225,A500065,7315 Cooper Ln in Austin (TX),6,(TX),Austin,7315 Cooper Ln in
685,45818,A500324,4717 Highland Terrace in Austin (TX),6,(TX),Austin,4717 Highland Terrace in
687,54444,A500672,12021 Selma Huges Park Rd in Austin (TX),8,(TX),Austin,12021 Selma Huges Park Rd in
692,137110,A501076,4900 Hilldale Drive in Austin (TX),6,(TX),Austin,4900 Hilldale Drive in
693,125332,A501193,12200 Carl Rd in Creedmoor (TX),6,(TX),Creedmoor,12200 Carl Rd in
695,55949,A501433,5918 Kevin Kelly Place in Austin (TX),7,(TX),Austin,5918 Kevin Kelly Place in
700,6261,A501600,2200 Berkeley Ave in Austin (TX),6,(TX),Austin,2200 Berkeley Ave in
701,14928,A501697,4404 Marlin Cove in Austin (TX),6,(TX),Austin,4404 Marlin Cove in
702,3218,A501761,294 Dry Creek Rd in Manor (TX),7,(TX),Manor,294 Dry Creek Rd in
704,40548,A502315,10420 Fm812 in Travis (TX),5,(TX),Travis,10420 Fm812 in
711,70260,A503335,5108 Mcdade Dr in Austin (TX),6,(TX),Austin,5108 Mcdade Dr in
712,13361,A503370,8403 Mesa Drive in Austin (TX),6,(TX),Austin,8403 Mesa Drive in
713,8539,A503371,4609 Trail Crest Cir in Austin (TX),7,(TX),Austin,4609 Trail Crest Cir in
714,41297,A503376,5208 Canella in Austin (TX),5,(TX),Austin,5208 Canella in
715,138445,A503378,1156 West Cesar Chavez in Austin (TX),7,(TX),Austin,1156 West Cesar Chavez in
724,97432,A504094,100 W St Johns in Austin (TX),7,(TX),Austin,100 W St Johns in
726,28115,A504280,11901 Pavilion in Austin (TX),5,(TX),Austin,11901 Pavilion in
728,129070,A504801,1605 Woodlawn in Austin (TX),5,(TX),Austin,1605 Woodlawn in
730,94840,A504891,1803 Cedar Ridge Dr in Austin (TX),7,(TX),Austin,1803 Cedar Ridge Dr in
734,123190,A505889,12606 Johnson Rd in Manor (TX),6,(TX),Manor,12606 Johnson Rd in
738,15169,A506775,7727 Burnet Rd in Austin (TX),6,(TX),Austin,7727 Burnet Rd in
742,135920,A506875,300 West Carrie in Manor (TX),6,(TX),Manor,300 West Carrie in
744,103321,A507271,3838 Steck Avenue in Austin (TX),6,(TX),Austin,3838 Steck Avenue in
745,7562,A507491,4320 S Congress in Austin (TX),6,(TX),Austin,4320 S Congress in
748,84475,A507694,6017 Abilene in Austin (TX),5,(TX),Austin,6017 Abilene in
749,100725,A507705,2300 North Loop in Austin (TX),6,(TX),Austin,2300 North Loop in
752,132932,A508027,0000 E 14Th 1/2 St in Austin (TX),8,(TX),Austin,0000 E 14Th 1/2 St in
756,84603,A508612,502 W Croslin in Austin (TX),6,(TX),Austin,502 W Croslin in
761,67276,A509226,3008 Yellow Pine in Austin (TX),6,(TX),Austin,3008 Yellow Pine in
766,128311,A510247,2222/Mt Bonnell in Austin (TX),5,(TX),Austin,2222/Mt Bonnell in
769,133928,A510476,737 Wales in Austin (TX),5,(TX),Austin,737 Wales in
779,80751,A513419,1203 Springdale Rd in Austin (TX),6,(TX),Austin,1203 Springdale Rd in
781,25053,A513956,5604 Southwest Parkway in Austin (TX),6,(TX),Austin,5604 Southwest Parkway in
786,58617,A514236,9909 North Lamar in Austin (TX),6,(TX),Austin,9909 North Lamar in
789,20060,A514535,2100 Metcalfe Road in Austin (TX),6,(TX),Austin,2100 Metcalfe Road in
791,122285,A514866,10520 North Lamar Boulevard in Austin (TX),7,(TX),Austin,10520 North Lamar Boulevard in
795,39122,A515271,4021 S Capital Of Texas Hwy in Austin (TX),9,(TX),Austin,4021 S Capital Of Texas Hwy in
797,29690,A515453,10011 Derringer Trl in Austin (TX),6,(TX),Austin,10011 Derringer Trl in
798,59411,A515503,51St St in Austin (TX),5,(TX),Austin,51St St in
800,47661,A515661,5300 Apple Orchard in Austin (TX),6,(TX),Austin,5300 Apple Orchard in
805,35570,A515831,5403 Aldford Dr in Austin (TX),6,(TX),Austin,5403 Aldford Dr in
812,140889,A516577,2409 Mantague Dr in Austin (TX),6,(TX),Austin,2409 Mantague Dr in
814,25247,A516660,5007 Mendoca Dr in Austin (TX),6,(TX),Austin,5007 Mendoca Dr in
822,467,A517675,6902 Deep Cir #A in Austin (TX),7,(TX),Austin,6902 Deep Cir #A in
827,104612,A518264,1304 Willow St in Austin (TX),6,(TX),Austin,1304 Willow St in
830,110911,A518581,3001 N Fm 973 in Austin (TX),7,(TX),Austin,3001 N Fm 973 in
831,124572,A518769,2705 Princetron Drive in Austin (TX),6,(TX),Austin,2705 Princetron Drive in
832,102604,A518911,4711 Sara Drive in Austin (TX),6,(TX),Austin,4711 Sara Drive in
833,39515,A518937,1511 Cripple Creek Dr in Austin (TX),7,(TX),Austin,1511 Cripple Creek Dr in
838,52286,A519536,11846 Jollyville in Austin (TX),5,(TX),Austin,11846 Jollyville in
839,73703,A519763,1044 Camino La Costa in Austin (TX),7,(TX),Austin,1044 Camino La Costa in
841,5956,A519949,12221 N Mopac in Austin (TX),6,(TX),Austin,12221 N Mopac in
843,114772,A520195,7600 Carver Ave in Austin (TX),6,(TX),Austin,7600 Carver Ave in
845,73955,A520355,2401 Manor Rd in Austin (TX),6,(TX),Austin,2401 Manor Rd in
